GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,kpoe,gruene,fpoe,lh,bzoe,pf
G60641,Sankt Oswald bei Plankenwarth,923,752,745,7,365,252,40,27,38,10,6,7
G60642,Sankt Radegund bei Graz,1606,1271,1248,23,445,549,78,79,49,21,18,9
G60643,Schrems bei Frohnleiten,443,402,400,2,215,140,9,17,15,3,0,1
G60644,Seiersberg,5031,3576,3543,33,1574,1019,327,238,142,123,79,41
G60645,Semriach,2496,1995,1971,24,528,1016,105,36,200,46,23,17
G60646,Stattegg,2025,1612,1589,23,467,630,141,163,80,57,36,15
G60647,Stiwoll,576,476,472,4,200,220,15,10,16,5,5,1
G60648,Thal,1686,1303,1282,21,566,359,119,132,59,18,21,8
G60649,Tulwitz,388,341,337,4,55,247,7,7,10,4,5,2
G60650,Tyrnau,120,104,102,2,38,60,1,1,2,0,0,0
G60651,Übelbach,1629,1287,1278,9,589,516,55,37,48,14,17,2
G60652,Unterpremstätten,2606,1880,1852,28,704,740,140,92,74,50,31,21
G60653,Vasoldsberg,3173,2413,2374,39,844,976,163,148,117,58,46,22
G60654,Weinitzen,1940,1528,1514,14,431,729,117,100,54,57,19,7
G60655,Werndorf,1584,1183,1161,22,623,327,89,33,33,19,27,10
G60656,Wundschuh,1138,925,915,10,263,491,43,43,31,25,13,6
G60657,Zettling,1044,773,770,3,272,374,38,21,40,9,11,5
G60658,Zwaring-Pöls,1152,947,937,10,236,565,50,22,36,13,12,3
G60701,Blaindorf,515,423,415,8,100,241,19,9,30,13,3,0
G60702,Buch-Geiseldorf,821,649,635,14,161,392,10,15,32,7,18,0
G60703,Dechantskirchen,1311,1099,1080,19,444,528,22,18,47,12,9,0
G60704,Dienersdorf,526,426,407,19,89,262,10,17,10,5,14,0
G60705,Ebersdorf,923,766,751,15,161,439,27,16,64,31,13,0
G60706,Friedberg,2072,1694,1648,46,718,762,21,57,58,14,18,0
G60707,Grafendorf bei Hartberg,1990,1631,1584,47,521,816,33,58,96,30,30,0
G60708,Greinbach,1422,1103,1075,28,301,625,33,42,30,22,22,0
G60709,Großhart,489,421,407,14,90,281,11,5,8,2,10,0
G60710,Hartberg,5087,3952,3851,101,1231,1850,152,275,187,77,79,0
G60711,Hartberg Umgebung,1654,1370,1343,27,265,920,32,67,28,13,18,0
G60712,Hartl,661,618,584,34,85,438,20,12,15,4,10,0
G60713,Hofkirchen bei Hartberg,484,435,429,6,85,290,13,15,12,5,9,0
G60714,Kaibing,295,264,260,4,101,132,6,6,9,3,3,0
G60715,Kaindorf,1093,858,822,36,205,457,35,27,50,26,22,0
G60716,Eichberg,980,756,738,18,230,405,9,17,61,8,8,0
G60717,Lafnitz,1086,951,940,11,450,401,21,22,26,6,14,0
G60718,Limbach bei Neudau,253,234,230,4,46,162,8,1,7,1,5,0
